halt_punkt_id;halt_punkt_diva;halt_id;GPS_Latitude;GPS_Longitude;GPS_Bearing;halt_punkt_ist_aktiv
6609;20;2777;47,373563;8,503311;130;TRUE
6611;10;2778;47,396983;8,51435;83;TRUE
6613;1;2779;47,36644;8,557451;238;TRUE
6615;50;2780;47,326468;8,598103;143;TRUE
6617;80;2781;47,360341;8,525446;;TRUE
6622;80;2782;47,318762;8,545632;220;FALSE
6626;21;2783;47,362674;8,515472;68;TRUE
6628;21;2784;47,398991;8,513185;268;FALSE
6630;50;2785;47,314469;8,595408;114;TRUE
6632;10;2787;47,382064;8,529319;217;FALSE
6634;91;2788;47,350391;8,561284;;TRUE
6645;10;2789;47,39347;8,52966;296;FALSE
6648;50;2790;47,340774;8,576088;248;FALSE
6649;80;2791;47,378741;8,564424;102;FALSE
6653;90;2792;47,396546;8,497305;;TRUE
6659;50;2795;47,345786;8,589576;64;TRUE
6661;50;2796;47,316607;8,583933;189;TRUE
6662;51;2797;47,359411;8,653903;328;TRUE
6664;50;2798;47,352072;8,660632;156;TRUE
6666;1;2799;47,375121;8,552708;40;FALSE
6671;20;2800;47,402852;8,498318;131;TRUE
6676;20;2802;47,364438;8,502784;165;FALSE
6678;20;2803;47,379473;8,490821;320;TRUE
6679;1;2804;47,399816;8,504696;304;TRUE
6686;10;2807;47,359529;8,507386;158;FALSE
6688;21;2808;47,404249;8,496001;308;TRUE
6691;90;2809;47,35197;8,507698;;TRUE
6696;0;2810;47,374323;8,485079;200;FALSE
6701;10;2811;47,410365;8,486224;145;TRUE
6703;81;2812;47,404862;8,576449;;FALSE
6709;50;2813;47,349922;8,534234;179;TRUE
6711;50;2814;47,363083;8,535113;177;FALSE
6719;0;2815;47,403125;8,591066;138;FALSE
6723;20;2816;47,413406;8,571941;170;FALSE
6724;10;2817;47,387443;8,50033;105;FALSE
6726;90;2818;47,388878;8,48306;;TRUE
6734;10;2821;47,413701;8,477345;234;FALSE
6737;20;2823;47,408393;8,494387;164;TRUE
6739;11;2824;47,387005;8,50199;300;TRUE
6741;21;2825;47,421276;8,537583;57;TRUE
6743;10;2826;47,376065;8,510935;223;FALSE
6746;21;2828;47,328364;8,512848;358;FALSE
6748;20;2829;47,374619;8,495029;280;FALSE
6752;20;2830;47,384608;8,576958;201;FALSE
6753;10;2831;47,405366;8,492896;122;TRUE
6755;20;2832;47,348033;8,574271;156;TRUE
6756;50;2833;47,343157;8,583458;30;TRUE
6758;20;2834;47,401061;8,509106;145;TRUE
6760;51;2835;47,315845;8,597197;314;TRUE
6761;10;2836;47,356545;8,51004;154;FALSE
6763;20;2837;47,399485;8,507353;139;TRUE
6765;21;2838;47,398921;8,50901;258;TRUE
6769;10;2840;47,372639;8,494156;191;FALSE
6771;21;2841;47,401396;8,490248;303;TRUE
6774;80;2843;47,426359;8,536574;8;FALSE
6778;81;2845;47,376913;8,559949;355;TRUE
6790;50;2846;47,372619;8,63556;135;TRUE
6792;20;2847;47,419945;8,53851;185;TRUE
6794;50;2848;47,321711;8,589877;0;TRUE
6796;10;2849;47,423771;8,49664;212;FALSE
6797;50;2850;47,326949;8,544478;160;TRUE
6799;20;2851;47,369519;8,491049;125;TRUE
6805;1;2853;47,397722;8,50741;313;FALSE
6807;80;2854;47,368419;8,544292;320;TRUE
6811;51;2855;47,33042;8,654698;10;TRUE
6813;50;2856;47,313558;8,553566;204;TRUE
6816;21;2857;47,371659;8,506874;305;TRUE
6818;51;2858;47,33183;8,542039;332;TRUE
6820;50;2859;47,331722;8,614054;45;TRUE
6824;10;2861;47,388062;8,543627;309;FALSE
6826;20;2862;47,37375;8,500547;88;FALSE
6828;50;2863;47,306225;8,550992;316;TRUE
6830;50;2864;47,321455;8,586683;138;FALSE
6832;50;2865;47,323386;8,582452;173;FALSE
6836;50;2866;47,345856;8,566059;112;TRUE
6839;21;2867;47,355256;8,561466;334;TRUE
6841;11;2868;47,384963;8,508823;296;FALSE
6844;20;2869;47,347196;8,571606;346;TRUE
6845;90;2870;47,369398;8,554746;277;TRUE
6851;91;2871;47,377508;8,498834;;TRUE
6860;50;2872;47,345149;8,586677;59;TRUE
6219;41;2891;47,3626;8,518555;;TRUE
6998;10;2893;47,388125;8,519866;210;FALSE
7059;50;2895;47,371297;8,641608;120;TRUE
7097;50;2906;47,413136;8,448778;167;FALSE
8035;50;3010;47,390386;8,394001;190;FALSE
8690;50;3044;47,408471;8,406289;120;FALSE
8686;51;3049;47,358427;8,630105;358;TRUE
8677;51;3050;47,362006;8,630225;358;TRUE
8661;51;3055;47,362722;8,459632;;FALSE
8838;51;3086;47,293886;8,556235;;FALSE
9169;80;3102;47,382522;8,507238;;TRUE
9234;81;3104;47,384197;8,491312;;TRUE
9580;50;3135;47,312946;8,530049;248;TRUE
10349;21;3158;47,414699;8,51965;120;FALSE
11937;1;3176;47,399207;8,600573;21;TRUE
